#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,
# Last Edit: 11.2.17 -Komioski,,,,,
###############,,,,,
# DUEL ENGINE #,,,,,
###############,,,,,
#,,,,,
zz_1_wizard_attack_cantrip_consequence_miss;Through divine luck, or sheer happenstance, [attackloc.GetBestName]'s' magical assault has failed to damage [defendloc.GetBestName].;;;;;;;;;;;;;x,,,,,

zz_1_wizard_defend_cantrip;[attackloc.GetBestName] weaves magic within themselves, a bubbling shield of mystical blue, flaring to life around them;;;;;;;;;;;;;x,,,,,
zz_1_wizard_defend_cantrip_consequence;It is a certain, that [attackloc.GetBestName]'s magical shield shall stand in the face of [defendloc.GetBestName]'s pending assault;;;;;;;;;;;;;x,,,,,

zz_1_wizard_stone_skin_cantrip;[attackloc.GetBestName] weaves magic within themselves, calling upon their mystical power, to harden them in the face of their enemies.;;;;;;;;;;;;;x,,,,,
zz_1_wizard_stone_skin_cantrip_consequence;[attackloc.GetBestName]'s magic flows across their skin, turning it to the earthen colour of stone.[defendloc.GetBestName] will need to seriously try to pierce their skin.;;;;;;;;;;;;;x,,,,,
zz_1_wizard_stone_skin_cantrip_consequence_fail;[attackloc.GetBestName]'s magic arcs in all directions, the spell collapsing before it could fully form.;;;;;;;;;;;;;x,,,,,


zz_duel_2_action_attack; With a prepared leap, [defendloc.GetBestName], unleashes a swinging strike at [attackloc.GetBestName].;;;;;;;;;;;;;x,,,,,
zz_duel_2_action_attack_consequence_hit;Landing their strike,[defendloc.GetBestName] inflict's a hearty strike, doing [defendloc.duel_dmg.GetValue] damage and leaving [attackloc.GetBestName] reeling.;;;;;;;;;;;;;x,,,,,
zz_duel_2_action_attack_consequence_miss; With a desperate strike, [defendloc.GetBestName] has barely clipped [attackloc.GetBestName]. With this failure, it is a wonder how long [defendloc.GetBestName] can keep fighting.;;;;;;;;;;;;;x,,,,,
zz_duel_2_action_defend;With weapons raised high, [defendloc.GetBestName] attempts to avoid all harm.;;;;;;;;;;;;;x
zz_duel_2_action_defend_consequence;As [defendloc.GetBestName] has gained their breath, they are sure to be better able to attack.;;;;;;;;;;;;;x,
zz_duel_2_action_flee;[defendloc.GetBestName] has sought to flee.;;;;;;;;;;;;;x
zz_duel_2_action_flee_consequence;[defendloc.GetBestName]'s terror is palpable. It is clear that [attackloc.GetBestName] is the superior fighter.;;;;;;;;;;;;;x

zz_2_wizard_attack_cantrip;[defendloc.GetBestName] weaves magic within themselves, the searing heat coalescing at their fingertips;;;;;;;;;;;;;x,,,,,
zz_2_wizard_attack_cantrip_consequence_fail;With an agonized cry, [defendloc.GetBestName]'s magic arcs in all directions, the spell collapsing before it could fully form.;;;;;;;;;;;;;x,,,,,
zz_2_wizard_attack_cantrip_consequence_hit;[defendloc.GetBestName]'s magical assault sears into your enemies flesh, inflicting [defendloc.duel_dmg.GetValue] damage and [attackloc.GetBestName]'s agonies are heard by the Gods.;;;;;;;;;;;;;x,,,,,
zz_2_wizard_attack_cantrip_consequence_resist;[defendloc.GetBestName]'s magical assault sears into your enemies flesh, inflicting [defendloc.duel_dmg.GetValue] damage, however, through some strange circumstance, [attackloc.GetBestName] has fought back, resisting the damage done.;;;;;;;;;;;;;x,,,,,
zz_2_wizard_attack_cantrip_consequence_miss;Through divine luck, or sheer happenstance, [defendloc.GetBestName]'s magical assault has failed to damage [attackloc.GetBestName].;;;;;;;;;;;;;x,,,,,

zz_2_wizard_defend_cantrip;[defendloc.GetBestName] weaves magic within themselves, a bubbling shield of mystical blue, flaring to life around them;;;;;;;;;;;;;x,,,,,
zz_2_wizard_defend_cantrip_consequence;It is a certain, that [defendloc.GetBestName]'s magical shield shall stand in the face of [attackloc.GetBestName]'s pending assault;;;;;;;;;;;;;x,,,,,

zz_2_wizard_stone_skin_cantrip;[defendloc.GetBestName] weaves magic within themselves, calling upon their mystical power, to harden them in the face of their enemies.;;;;;;;;;;;;;x,,,,,
zz_2_wizard_stone_skin_cantrip_consequence;[defendloc.GetBestName]'s magic flows across their skin, turning it to the earthen colour of stone. [attackloc.GetBestName] will need to seriously try to pierce their skin.;;;;;;;;;;;;;x,,,,,
zz_2_wizard_stone_skin_cantrip_consequence_fail;[defendloc.GetBestName]'s magic arcs in all directions, the spell collapsing before it could fully form.;;;;;;;;;;;;;x,,,,,


# DUEL OUTCOMES,,,,,
EVTDESC_DUELACTION_200;Your enemy launches a depsperate attack. Too weak to parry their blow, you feel the steel of their blade slice you open, recieving [From.duel_dmg.GetValue] damage. Warm blood stains your clothing and you fall to the ground, the life draining from your body. Hearing your enemy's roar of triumph, you give in to the icy grip of death, contemplating the mistakes you have made.;;;;;;;;;;;;;x
EVTOPTA_DUELACTION_200;Aaaaargh!;;;;;;;;;;;;;x,,,,,
EVTDESC_DUELACTION_201;As you press your advantage upon your enemy, you can feel your blows sapping their strength. Launching your final attack, you deal them [Root.duel_dmg.GetValue] damage and cut through their armor, severing their torso in two. Letting out a ferocuious bellow, you sginal your victory to the onlookers and challenge another to take the place of your opponent. None step forward.;;;;;;;;;;;;;x,
EVTOPTA_DUELACTION_201;Victory for [Root.PrimaryTitle.GetName]!;;;;;;;;;;;;;x,,,,,
EVTDESC_DUELACTION_202;You managed to escape from certain death at the hands of your enemy.;;;;;;;;;;;;;x,,,,,
EVTOPTA_DUELACTION_202;I must get away from here!;;;;;;;;;;;;;x,,,,,
EVTDESC_DUELACTION_203;Your craven enemy has escaped!;;;;;;;;;;;;;x,,,,,
EVTOPTA_DUELACTION_203;Coward! Run back to [From.Capital.GetName]!;;;;;;;;;;;;;x,,,,,
#,,,,,
,,,,,
#Special Actions,,,,,
ACTION_WIZARD_SPELLS;Wizard Spells;;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_SPELLS;Sorcerer Spells;;;;;;;;;;;;;x
ACTION_BARD_SPELLS;Bard Spells;;;;;;;;;;;;;x
ACTION_WARLOCK_SPELLS;Warlock Invocations;;;;;;;;;;;;;x
ACTION_CLERIC_SPELLS;Cleric Spells;;;;;;;;;;;;;x
ACTION_DRUID_SPELLS;Druid Spells;;;;;;;;;;;;;x
ACTION_PALADIN_SPELLS;Paladin Spells;;;;;;;;;;;;;x
ACTION_FIGHTER_ABILITIES;Fighter Abilities;;;;;;;;;;;;;x
ACTION_RANGER_ABILITIES;Ranger Abilities;;;;;;;;;;;;;x
ACTION_BARBARIAN_ABILITIES;Barbarian Abilities;;;;;;;;;;;;;x
ACTION_ROGUE_ABILITIES;Rogue Abilities;;;;;;;;;;;;;x
ACTION_ASSASSIN_ABILITIES;Asssassin Abilities;;;;;;;;;;;;;x
ACTION_SHADOW_ABILITIES;Shadow Abilities;;;;;;;;;;;;;x
,,,,,
NEXT_ACTION;Next Page;;;;;;;;;;;;;x,,,,,
###Wizard,,,,,
ACTION_FLEE;Flee you fools!;;;;;;;;;;;;;x,,,,,
ACTION_WIZARD_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_WIZARD_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10.\n Your spell cast calculation is d20+[Root.wcl.GetValue].\n This Spell damage equal to 1d3+([Root.wcl_sp.GetValue]/5)d3+[Root.wcl_sp.GetValue].\n If this Spell is resisted, the damage done is halved.\n This spell is an Attack type Action.;;;;;;;;;;;;;;x,,,,,
ACTION_WIZARD_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_WIZARD_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell is automatically cast.\n This spell increases your defense score by [Root.wcl_sp.GetValue]+10 for this round of combat.\n This spell is a Counter type Action. ;;;;;;;;;;;;;x,,,,,
ACTION_WIZARD_STONE-SKIN_CANTRIP-BUFF;Stoneskin;;;;;;;;;;;;;x,,,,,
ACTION_WIZARD_STONE-SKIN_CANTRIP-BUFF_TOOLTIP; This spell has a cast value of 15.\n Your spell cast calculation is d20+[Root.wcl.GetValue].\n This spell will grant a damage reduction of 2+([Root.wcl_sp.GetValue]/5) for a duration of 1+[Root.wcl_sp.GetValue]\n You currently have a damage reduction of [Root.wizard_ss_pot.GetValue] which will expire in [Root.wizard_ss_count.GetValue] rounds.\n This Spell is a Buff type Action.;;;;;;;;;;;;;x,,,,,


###Sorcerer
EVTDESC_DUELACTION_SORCERER;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Sorcerer Spells [Root.spells_sorcerer.GetValue];;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10.\n Your spell cast calculation is d20+[Root.wcl.GetValue].\n This Spell damage equal to 1d3+([Root.scl_sp.GetValue]/5)d3+[Root.scl_sp.GetValue].\n If this Spell is resisted, the damage done is halved.\n This spell is an Attack type Action.;;;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell is automatically cast.\n This spell increases your defense score by [Root.scl_sp.GetValue]+10 for this round of combat.\n This spell is a Counter type Action. ;;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_STONE-SKIN_CANTRIP-BUFF;Stoneskin;;;;;;;;;;;;;x,,,,,
ACTION_SORCERER_STONE-SKIN_CANTRIP-BUFF_TOOLTIP; This spell has a cast value of 15.\n Your spell cast calculation is d20+[Root.scl.GetValue].\n This spell will grant a damage reduction of 2+([Root.scl_sp.GetValue]/5) for a duration of 1+[Root.scl_sp.GetValue]\n You currently have a damage reduction of [Root.sorcerer_ss_pot.GetValue] which will expire in [Root.sorcerer_ss_count.GetValue] rounds.\n This Spell is a Buff type Action.;;;;;;;;;;;;;x,,,,,

###Bard
EVTDESC_DUELACTION_BARD;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Bard Envocations [Root.spells_bard.GetValue];;;;;;;;;;;;;x,,,,,
ACTION_BARD_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_BARD_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10, and does damage based on your caster level. This spell takes part in the attack phase of your action in the duel;;;;;;;;;;;;;;x,,,,,
ACTION_BARD_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_BARD_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell has a cast value of 10. It causes you to counter any enemy attack with a bonus defense value of your caster level+10, making you almost immune to damage;;;;;;;;;;;;;x,,,,,

###Warlock
EVTDESC_DUELACTION_WARLOCK;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Warlock Invocations [Root.spells_warlock.GetValue];;;;;;;;;;;;;x,,,,,
ACTION_WARLOCK_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_WARLOCK_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10, and does damage based on your caster level. This spell takes part in the attack phase of your action in the duel;;;;;;;;;;;;;;x,,,,,
ACTION_WARLOCK_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_WARLOCK_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell has a cast value of 10. It causes you to counter any enemy attack with a bonus defense value of your caster level+10, making you almost immune to damage;;;;;;;;;;;;;x,,,,,

###Cleric
EVTDESC_DUELACTION_CLERIC;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Cleric Spells [Root.spells_cleric.GetValue];;;;;;;;;;;;;x,,,,,
ACTION_CLERIC_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_CLERIC_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10, and does damage based on your caster level. This spell takes part in the attack phase of your action in the duel;;;;;;;;;;;;;;x,,,,,
ACTION_CLERIC_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_CLERIC_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell has a cast value of 10. It causes you to counter any enemy attack with a bonus defense value of your caster level+10, making you almost immune to damage;;;;;;;;;;;;;x,,,,,

###Druid
EVTDESC_DUELACTION_DRUID;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Druid Spells [Root.spells_druid.GetValue];;;;;;;;;;;;;x,,,,,
ACTION_DRUID_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_DRUID_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10, and does damage based on your caster level. This spell takes part in the attack phase of your action in the duel;;;;;;;;;;;;;;x,,,,,
ACTION_DRUID_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_DRUID_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell has a cast value of 10. It causes you to counter any enemy attack with a bonus defense value of your caster level+10, making you almost immune to damage;;;;;;;;;;;;;x,,,,,

###Paladin
EVTDESC_DUELACTION_PALADIN;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Paladin Spells [Root.spells_paladin.GetValue];;;;;;;;;;;;;x,,,,,
ACTION_PALADIN_ATTACK_CANTRIP-ATTACK; Magic Missiles;;;;;;;;;;;;;;x,,,,,
ACTION_PALADIN_ATTACK_CANTRIP-ATTACK_TOOLTIP; This spell has a cast value of 10, and does damage based on your caster level. This spell takes part in the attack phase of your action in the duel;;;;;;;;;;;;;;x,,,,,
ACTION_PALADIN_DEFEND_CANTRIP-COUNTER;Mage Barrier;;;;;;;;;;;;;x,,,,,
ACTION_PALADIN_DEFEND_CANTRIP-COUNTER_TOOLTIP;This Spell has a cast value of 10. It causes you to counter any enemy attack with a bonus defense value of your caster level+10, making you almost immune to damage;;;;;;;;;;;;;x,,,,,


###Fighter
EVTDESC_DUELACTION_FIGHTER;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Fighter Abilities [Root.spells_sorcerer.GetValue];;;;;;;;;;;;;x,,,,,

###Ranger
EVTDESC_DUELACTION_RANGER;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Ranger Abilities [Root.spells_sorcerer.GetValue];;;;;;;;;;;;;x,,,,,

###Barbarian
EVTDESC_DUELACTION_BARBARIAN;Choose what action you would like to perform.\n State of character:\n Max hit points: [Root.duel_max_hp.GetValue] Hit points left: [Root.duel_hp.GetValue] \n Attack Energy: [Root.duel_att.GetValue] Defend Energy: [Root.duel_def.GetValue]\n Barbarian Abilities [Root.spells_sorcerer.GetValue];;;;;;;;;;;;;x,,,,,
